,Buy & Hold,SMA 20/60 crossover,RSI reversion (30/60)
2023-11-06,12625.601770086449,10325.013811937322,10222.970840310993
2023-11-07,12752.78332423111,10429.020838856111,10222.970840310993
2023-11-08,12834.057319684853,10495.485403547153,10222.970840310993
2023-11-09,13221.827224323799,10812.59738713091,10222.970840310993
2023-11-10,13438.176006370746,10989.523937128952,10222.970840310993
2023-11-11,13376.345085095367,10938.959605400569,10222.970840310993
2023-11-12,13352.614951759646,10919.55348449543,10222.970840310993
2023-11-13,13136.028400045148,10742.432490292178,10222.970840310993
2023-11-14,12807.567617177257,10473.822551411815,10222.970840310993
2023-11-15,13638.6842849598,11153.496378485746,10222.970840310993
2023-11-16,13028.160227532915,10654.219635860478,10222.970840310993
2023-11-17,13190.423615353486,10786.916021421168,10222.970840310993
2023-11-18,13173.916636312304,10773.416879780461,10222.970840310993
2023-11-19,13459.15377567603,11006.67921905253,10222.970840310993
2023-11-20,13491.187834522425,11032.876156518521,10222.970840310993
2023-11-21,12876.182179119278,10529.934435237416,10222.970840310993
2023-11-22,13476.619038528854,11020.962029762732,10222.970840310993
2023-11-23,13435.528116891204,10987.358535752715,10222.970840310993
2023-11-24,13586.58030462968,11110.886582425173,10222.970840310993
2023-11-25,13610.753554164015,11130.655076621844,10222.970840310993
2023-11-26,13490.701487475162,11032.47842973513,10222.970840310993
2023-11-27,13416.946057115032,10972.162426502873,10222.970840310993
2023-11-28,13624.515374316203,11141.909271529637,10222.970840310993
2023-11-29,13637.401769783313,11152.447558227324,10222.970840310993
2023-11-30,13590.323375608246,11113.94760559512,10222.970840310993
2023-12-01,13935.651394589366,11396.351298548332,10222.970840310993
2023-12-02,14212.267582219012,11622.563562319265,10222.970840310993
2023-12-03,14400.289350690928,11776.324736778048,10222.970840310993
2023-12-04,15127.590738021761,12371.100099281868,10222.970840310993
2023-12-05,15877.72521857892,12984.547997734795,10222.970840310993
2023-12-06,15765.818564289042,12893.032537938794,10222.970840310993
2023-12-07,15589.454714668562,12748.805021784097,10222.970840310993
2023-12-08,15912.911526805725,13013.32279398202,10222.970840310993
2023-12-09,15748.133544622267,12878.570013644985,10222.970840310993
2023-12-10,15775.480658961336,12900.93404336882,10222.970840310993
2023-12-11,14861.829095972884,12153.76450809135,10222.970840310993
2023-12-12,14947.926933621333,12224.173933248761,10222.970840310993
2023-12-13,15443.871229283754,12629.74919183154,10222.970840310993
2023-12-14,15499.073420433477,12674.89265480853,10222.970840310993
2023-12-15,15109.289678761788,12356.1337877291,10222.970840310993
2023-12-16,15230.959299704133,12455.633244436127,10222.970840310993
2023-12-17,14905.510265958552,12189.486265488464,10222.970840310993
2023-12-18,15367.774127955323,12567.518207790368,10222.970840310993
2023-12-19,15230.224375277156,12455.032235074557,10222.970840310993
2023-12-20,15732.04086121394,12865.40967630124,10222.970840310993
2023-12-21,15801.523642699594,12922.231576088303,10222.970840310993
2023-12-22,15840.157611105886,12953.825813311118,10222.970840310993
2023-12-23,15744.012203718054,12875.19964742129,10222.970840310993
2023-12-24,15487.991912897318,12665.830376395867,10222.970840310993
2023-12-25,15698.609004928001,12838.06964259854,10222.970840310993
2023-12-26,15314.142657639724,12523.659255017516,10222.970840310993
2023-12-27,15645.55034335696,12794.679123592794,10222.970840310993
2023-12-28,15333.895552900047,12539.812854671816,10222.970840310993
2023-12-29,15154.916236936506,12393.446452259774,10222.970840310993
2023-12-30,15181.333888029694,12415.050381908684,10222.970840310993
2023-12-31,15232.958726453993,12457.26834343451,10222.970840310993
2024-01-01,15915.995327342445,13015.84467640115,10222.970840310993
2024-01-02,16192.44219414823,13241.918472328976,10222.970840310993
2024-01-03,15435.297110969042,12622.737415946583,10222.970840310993
2024-01-04,15905.746013642714,13007.462952706734,10222.970840310993
2024-01-05,15903.588073781155,13005.69822423821,10222.970840310993
2024-01-06,15839.898226014013,12953.613692359975,10222.970840310993
2024-01-07,15825.740123082574,12942.035423776828,10222.970840310993
2024-01-08,16914.44419994926,13832.360085956001,10222.970840310993
2024-01-09,16611.453592075068,13584.579246028015,10222.970840310993
2024-01-10,16807.429836697775,13744.845462988475,10222.970840310993
2024-01-11,16694.010102705302,13652.09263097748,10222.970840310993
2024-01-12,15412.781043966123,12604.324138937762,10222.970840310993
2024-01-13,15436.29142048789,12623.55054625929,10222.970840310993
2024-01-14,15034.374220629668,12294.869132465348,10222.970840310993
2024-01-15,15314.924415486064,12524.298563995262,10222.970840310993
2024-01-16,15540.751561098561,12708.976367082936,10222.970840310993
2024-01-17,15410.39253957845,12602.370858512664,10222.970840310993
2024-01-18,14888.524145011546,12175.595289313007,10222.970840310993
2024-01-19,15007.960172107201,12273.26814894076,10222.970840310993
2024-01-20,15021.293286343653,12284.171755054304,10222.970840310993
2024-01-21,14979.607940537124,12250.082150531252,10222.970840310993
2024-01-22,14254.659031886751,11657.230607209312,10222.970840310993
2024-01-23,14373.392557691915,11754.32897259439,10222.970840310993
2024-01-24,14440.86150214483,11809.503988885783,10222.970840310993
2024-01-25,14396.265279196163,11773.03391591103,10222.970840310993
2024-01-26,15067.21525531745,12321.726001779336,10222.970840310993
2024-01-27,15174.254836563974,12409.26124761711,10222.970840310993
2024-01-28,15141.986610620748,12382.872812070229,10222.970840310993
2024-01-29,15600.103913718262,12364.301752581923,10222.970840310993
2024-01-30,15469.834956466162,12364.301752581923,10222.970840310993
2024-01-31,15339.746127750086,12364.301752581923,10222.970840310993
2024-02-01,15520.933819565273,12364.301752581923,10222.970840310993
2024-02-02,15563.105512419063,12364.301752581923,10222.970840310993
2024-02-03,15495.049348938712,12364.301752581923,10222.970840310993
2024-02-04,15340.78366811758,12364.301752581923,10222.970840310993
2024-02-05,15386.1112129225,12364.301752581923,10222.970840310993
2024-02-06,15526.70153528874,12364.301752581923,10222.970840310993
2024-02-07,15977.257042443993,12364.301752581923,10222.970840310993
2024-02-08,16315.556445949482,12364.301752581923,10222.970840310993
2024-02-09,16979.91371765231,12364.301752581923,10222.970840310993
2024-02-10,17202.667870440247,12364.301752581923,10222.970840310993
2024-02-11,17400.4129772867,12364.301752581923,10222.970840310993
2024-02-12,17983.04953476645,12759.148308995811,10222.970840310993
2024-02-13,17904.628775323315,12703.508018493101,10222.970840310993
2024-02-14,18659.57629036302,13239.150612997279,10222.970840310993
2024-02-15,18690.136897784745,13260.833660789198,10222.970840310993
2024-02-16,18778.079251642073,13323.22961500923,10222.970840310993
2024-02-17,18604.62627916373,13200.16304633806,10222.970840310993
2024-02-18,18782.964337539026,13326.695630900522,10222.970840310993
2024-02-19,18652.212635810385,13233.92602857117,10222.970840310993
2024-02-20,18826.60948181749,13357.66228467856,10222.970840310993
2024-02-21,18679.109428809395,13253.009564444617,10222.970840310993
2024-02-22,18477.016019103336,13109.62232738423,10222.970840310993
2024-02-23,18280.93890250046,12970.503708715038,10222.970840310993
2024-02-24,18577.815947862015,13181.140855878619,10222.970840310993
2024-02-25,18635.68404134488,13222.19883026051,10222.970840310993
2024-02-26,19625.533577641938,13924.506690381128,10222.970840310993
2024-02-27,20548.105105734267,14579.080150228952,10222.970840310993
2024-02-28,22491.605547729123,15958.012590473347,10222.970840310993
2024-02-29,22022.867866147673,15625.438652679863,10222.970840310993
2024-03-01,22475.68218514466,15946.714810060725,10222.970840310993
2024-03-02,22331.355996941293,15844.313977732556,10222.970840310993
2024-03-03,22737.254037445633,16132.30257983885,10222.970840310993
2024-03-04,24585.999664350762,17444.005558451387,10222.970840310993
2024-03-05,22957.025261677027,16288.232398004384,10222.970840310993
2024-03-06,23803.640188699017,16888.913911648648,10222.970840310993
2024-03-07,24073.519569081393,17080.395953289106,10222.970840310993
2024-03-08,24542.22122495564,17412.944330493425,10222.970840310993
2024-03-09,24610.33863213824,17461.27429249385,10222.970840310993
2024-03-10,24841.84342920619,17625.52919455167,10222.970840310993
2024-03-11,25966.645264691957,18423.587021698724,10222.970840310993
2024-03-12,25741.091914454213,18263.554728971594,10222.970840310993
2024-03-13,26324.852473998748,18677.738515863322,10222.970840310993
2024-03-14,25718.370500920228,18247.433665382814,10222.970840310993
2024-03-15,25037.812468687454,17764.57113145336,10222.970840310993
2024-03-16,23525.013766607353,16691.225758957997,10222.970840310993
2024-03-17,24639.234851887104,17481.776441066166,10222.970840310993
2024-03-18,24356.97703850921,17281.511780987297,10222.970840310993
2024-03-19,22313.386374187605,15831.564355855144,10222.970840310993
2024-03-20,24440.02349875742,17340.434051139284,10222.970840310993
2024-03-21,23597.295745542808,16742.510525066336,10222.970840310993
2024-03-22,22983.19073281978,16306.797053917704,10222.970840310993
2024-03-23,23052.85364284146,16356.223565193473,10222.970840310993
2024-03-24,24212.874209690515,17179.269424311977,10222.970840310993
2024-03-25,25174.76779719674,17861.74226723758,10222.970840310993
2024-03-26,25213.67195840707,17889.345147481003,10222.970840310993
2024-03-27,25027.05519251614,17756.938739527544,10222.970840310993
2024-03-28,25499.211713711316,18091.938377233153,10222.970840310993
2024-03-29,25164.151021283524,17854.209561609525,10222.970840310993
2024-03-30,25067.47243342906,17785.61516451605,10222.970840310993
2024-03-31,25679.127698062173,18219.590515601205,10222.970840310993
2024-04-01,25091.833016640863,17802.899234912016,10222.970840310993
2024-04-02,23583.865361896907,16732.9815374242,10222.970840310993
2024-04-03,23763.738115399123,16860.603003085253,10222.970840310993
2024-04-04,24673.21069635183,17505.882632711287,10222.970840310993
2024-04-05,24432.857985594408,17335.350049953602,10222.970840310993
2024-04-06,24820.27123573203,17610.223513757373,10222.970840310993
2024-04-07,24987.571017419818,17728.924333798503,10222.970840310993
2024-04-08,25801.611499987346,18306.49396271631,10222.970840310993
2024-04-09,24910.335503743718,17674.12498667945,10222.970840310993
2024-04-10,25445.346076298887,18053.720184307916,10222.970840310993
2024-04-11,25220.23944483048,17894.00484288648,10222.970840310993
2024-04-12,24179.200981166305,17155.377941615872,10222.970840310993
2024-04-13,23029.256804622397,16339.481379287889,10222.970840310993
2024-04-14,23655.142223601353,16783.553163094726,10222.970840310993
2024-04-15,22847.499906633377,16210.523094813305,10222.970840310993
2024-04-16,22982.019897335627,16305.966334769717,10222.970840310993
2024-04-17,22075.605898924598,15662.856799164112,10222.970840310993
2024-04-18,22865.545183372196,16223.326393927973,10222.970840310993
2024-04-19,22990.88942644942,16312.259351823084,10222.970840310993
2024-04-20,23395.306810387643,16599.197413714537,10222.970840310993
2024-04-21,23395.50855434799,16599.340553013884,10222.970840310993
2024-04-22,24072.132579354016,17079.41187060611,10222.970840310993
2024-04-23,23926.113182912028,16975.809690587004,10222.970840310993
2024-04-24,23160.77945648522,16432.79797822545,10222.970840310993
2024-04-25,23235.983120274974,16486.155708115388,10222.970840310993
2024-04-26,22973.597086991176,16461.432165404964,10222.970840310993
2024-04-27,22862.62710108862,16461.432165404964,10222.970840310993
2024-04-28,22738.92923283065,16461.432165404964,10222.970840310993
2024-04-29,23008.178163336943,16461.432165404964,10222.970840310993
2024-04-30,21857.51707521966,16461.432165404964,10222.970840310993
2024-05-01,21026.393202295676,16461.432165404964,10222.970840310993
2024-05-02,21277.00243189427,16461.432165404964,10222.970840310993
2024-05-03,22653.688807013674,16461.432165404964,10222.970840310993
2024-05-04,23017.559257493038,16461.432165404964,10222.970840310993
2024-05-05,23060.775695855766,16461.432165404964,10222.970840310993
2024-05-06,22755.706404675868,16461.432165404964,10222.970840310993
2024-05-07,22448.367493942074,16461.432165404964,10222.970840310993
2024-05-08,22045.221817468173,16461.432165404964,10222.970840310993
2024-05-09,22722.858164846646,16461.432165404964,10222.970840310993
2024-05-10,21903.62637787092,16461.432165404964,10222.970840310993
2024-05-11,21912.99306174414,16461.432165404964,10222.970840310993
2024-05-12,22150.04221515089,16461.432165404964,10222.970840310993
2024-05-13,22674.608935187425,16461.432165404964,10222.970840310993
2024-05-14,22183.726251387263,16461.432165404964,10222.970840310993
2024-05-15,23851.35984046233,16461.432165404964,10222.970840310993
2024-05-16,23501.445748954055,16461.432165404964,10222.970840310993
2024-05-17,24145.86999686054,16461.432165404964,10222.970840310993
2024-05-18,24106.674027421854,16461.432165404964,10222.970840310993
2024-05-19,23875.680795396205,16461.432165404964,10222.970840310993
2024-05-20,25739.15012883588,16461.432165404964,10222.970840310993
2024-05-21,25271.43557733904,16461.432165404964,10222.970840310993
2024-05-22,24917.76400456932,16461.432165404964,10222.970840310993
2024-05-23,24486.547097041534,16461.432165404964,10222.970840310993
2024-05-24,24695.61868623314,16461.432165404964,10222.970840310993
2024-05-25,24962.417868649514,16461.432165404964,10222.970840310993
2024-05-26,24680.37260694412,16461.432165404964,10222.970840310993
2024-05-27,25014.96496517825,16461.432165404964,10222.970840310993
2024-05-28,24641.003714110855,16191.031106462122,10222.970840310993
2024-05-29,24372.26274607615,16014.447659476196,10222.970840310993
2024-05-30,24624.352632240854,16180.0900673859,10222.970840310993
2024-05-31,24331.766248607375,15987.838351761828,10222.970840310993
2024-06-01,24413.48696283046,16041.535134627478,10222.970840310993
2024-06-02,24413.047449202564,16041.246340432908,10222.970840310993
2024-06-03,24789.253101828806,16288.442335156542,10222.970840310993
2024-06-04,25411.755706901247,16697.474335618837,10222.970840310993
2024-06-05,25617.159879099414,16832.44064543491,10222.970840310993
2024-06-06,25505.862059261297,16759.309433574068,10222.970840310993
2024-06-07,24985.845386044715,16417.618558088056,10222.970840310993
2024-06-08,24969.583381812525,16406.933172888992,10222.970840310993
2024-06-09,25091.234989901266,16486.867618480912,10222.970840310993
2024-06-10,25052.27679013013,16461.26909044754,10222.970840310993
2024-06-11,24250.431009451386,15934.394855607812,10222.970840310993
2024-06-12,24592.585163627777,16159.21640174892,10222.970840310993
2024-06-13,24055.449074347525,15806.276755667877,10222.970840310993
2024-06-14,23792.81446368402,15633.705654254045,10222.970840310993
2024-06-15,23859.195431779346,15677.323046296118,10222.970840310993
2024-06-16,24020.813959440955,15783.518826269608,10222.970840310993
2024-06-17,23958.65520423001,15742.675752227824,10222.970840310993
2024-06-18,23479.869952909175,15428.077086224146,10222.970840310993
2024-06-19,23407.476294281387,15380.508894913744,10222.970840310993
2024-06-20,23369.872661101144,15355.800421119367,10222.970840310993
2024-06-21,23108.171116254234,15183.84241557761,10222.970840310993
2024-06-22,23150.843566438172,15211.88149127165,10222.970840310993
2024-06-23,22771.853126645005,14962.8556775939,10222.970840310993
2024-06-24,21721.087722035565,14272.422140510218,10222.970840310993
2024-06-25,22266.052197491383,14630.505637286331,10463.745558344746
2024-06-26,21927.04308755396,14407.750626652263,10304.431054054408
